date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:44	4369/4369	---M--	200	added ('OK')	image/png	etag:%221111-54be10bf6c600%22	https://www.hoeve-oswald.be/sites/all/modules/jquery_update/replace/ui/themes/base/minified/images/ui-icons_222222_256x240.png	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/sites/all/modules/jquery_update/replace/ui/themes/base/minified/images/ui-icons_222222_256x240.png	(from https://www.hoeve-oswald.be/sites/default/files/css/css_cLykWwcxBW6FB6JeKRpnYY6eoLCVleX5qFYclWjpito.css)
15:46:44	4369/4369	---M--	200	added ('OK')	image/png	etag:%221111-54be10bf6c600%22	https://www.hoeve-oswald.be/sites/all/modules/jquery_update/replace/ui/themes/base/minified/images/ui-icons_888888_256x240.png	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/sites/all/modules/jquery_update/replace/ui/themes/base/minified/images/ui-icons_888888_256x240.png	(from https://www.hoeve-oswald.be/sites/default/files/css/css_cLykWwcxBW6FB6JeKRpnYY6eoLCVleX5qFYclWjpito.css)
15:46:44	4369/4369	---M--	200	added ('OK')	image/png	etag:%221111-54be10bf6c600%22	https://www.hoeve-oswald.be/sites/all/modules/jquery_update/replace/ui/themes/base/minified/images/ui-icons_454545_256x240.png	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/sites/all/modules/jquery_update/replace/ui/themes/base/minified/images/ui-icons_454545_256x240.png	(from https://www.hoeve-oswald.be/sites/default/files/css/css_cLykWwcxBW6FB6JeKRpnYY6eoLCVleX5qFYclWjpito.css)
15:46:45	4369/4369	---M--	200	added ('OK')	image/png	etag:%221111-54be10bf6c600%22	https://www.hoeve-oswald.be/sites/all/modules/jquery_update/replace/ui/themes/base/minified/images/ui-icons_2e83ff_256x240.png	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/sites/all/modules/jquery_update/replace/ui/themes/base/minified/images/ui-icons_2e83ff_256x240.png	(from https://www.hoeve-oswald.be/sites/default/files/css/css_cLykWwcxBW6FB6JeKRpnYY6eoLCVleX5qFYclWjpito.css)
15:46:45	4369/4369	---M--	200	added ('OK')	image/png	etag:%221111-54be10bf6c600%22	https://www.hoeve-oswald.be/sites/all/modules/jquery_update/replace/ui/themes/base/minified/images/ui-icons_cd0a0a_256x240.png	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/sites/all/modules/jquery_update/replace/ui/themes/base/minified/images/ui-icons_cd0a0a_256x240.png	(from https://www.hoeve-oswald.be/sites/default/files/css/css_cLykWwcxBW6FB6JeKRpnYY6eoLCVleX5qFYclWjpito.css)
15:46:45	180/180	---M--	200	added ('OK')	image/png	etag:%22b4-54be10bf6c600%22	https://www.hoeve-oswald.be/sites/all/modules/jquery_update/replace/ui/themes/base/minified/images/ui-bg_flat_0_aaaaaa_40x100.png	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/sites/all/modules/jquery_update/replace/ui/themes/base/minified/images/ui-bg_flat_0_aaaaaa_40x100.png	(from https://www.hoeve-oswald.be/sites/default/files/css/css_cLykWwcxBW6FB6JeKRpnYY6eoLCVleX5qFYclWjpito.css)
15:46:45	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Feb%202024%2014:46:46%20GMT	https://www.hoeve-oswald.be/nl/node/29	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/nl/node/29	(from https://www.hoeve-oswald.be/nl/prijzen)
15:46:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Feb%202024%2014:46:46%20GMT	https://www.hoeve-oswald.be/nl/node/26	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/nl/node/26	(from https://www.hoeve-oswald.be/nl/kalender)
15:46:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Feb%202024%2014:46:47%20GMT	https://www.hoeve-oswald.be/fr/node/22	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/fr/node/22	(from https://www.hoeve-oswald.be/fr/plans-d%c3%a9tage)
15:46:47	15517/15517	---MCZ	200	added ('OK')	text/html	etag:%221707831431-1%22	https://www.hoeve-oswald.be/fr/plans-d%C3%A9tage	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/fr/plans-d%c3%a9tage-2.html	(from https://www.hoeve-oswald.be/fr/plans-d%c3%a9tage)
15:46:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Feb%202024%2014:46:47%20GMT	https://www.hoeve-oswald.be/fr/node/29	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/fr/node/29	(from https://www.hoeve-oswald.be/fr/prix)
15:46:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Feb%202024%2014:46:47%20GMT	https://www.hoeve-oswald.be/fr/node/26	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/fr/node/26	(from https://www.hoeve-oswald.be/fr/calendrier)
15:46:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Feb%202024%2014:46:48%20GMT	https://www.hoeve-oswald.be/es/node/22	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/es/node/22	(from https://www.hoeve-oswald.be/es/planos-de-la-casa)
15:46:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Feb%202024%2014:46:48%20GMT	https://www.hoeve-oswald.be/es/node/29	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/es/node/29	(from https://www.hoeve-oswald.be/es/precios)
15:46:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Feb%202024%2014:46:49%20GMT	https://www.hoeve-oswald.be/es/node/26	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/es/node/26	(from https://www.hoeve-oswald.be/es/calendario)
15:46:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Feb%202024%2014:46:49%20GMT	https://www.hoeve-oswald.be/en/node/22	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/en/node/22	(from https://www.hoeve-oswald.be/en/floor-plans)
15:46:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Feb%202024%2014:46:49%20GMT	https://www.hoeve-oswald.be/en/node/29	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/en/node/29	(from https://www.hoeve-oswald.be/en/prices)
15:46:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Feb%202024%2014:46:50%20GMT	https://www.hoeve-oswald.be/en/node/26	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/en/node/26	(from https://www.hoeve-oswald.be/en/calendar)
